id,init,desc,abbreviation,category
23475,f.23475.0.0,Acetate,acetate,ketone body
23476,f.23476.0.0,Acetoacetate,acetoacetate,ketone body
23477,f.23477.0.0,Acetone,acetone,ketone body
23460,f.23460.0.0,Alanine,ala,amino acid
23479,f.23479.0.0,Albumin,albumin,fluid balance
23440,f.23440.0.0,Apolipoprotein A1,apoA1,apolipoprotein
23439,f.23439.0.0,Apolipoprotein B,apoB,apolipoprotein
23441,f.23441.0.0,Apolipoprotein B to Apolipoprotein A1 ratio,apoB_by_apoA1,apolipoprotein
23474,f.23474.0.0,3-Hydroxybutyrate,bOHbutyrate,ketone body
23436,f.23436.0.0,Total Cholines,choline,other
23473,f.23473.0.0,Citrate,citrate,glycolysis
23404,f.23404.0.0,Clinical LDL Cholesterol,clinical_LDL,other
23478,f.23478.0.0,Creatinine,creatinine,fluid balance
23450,f.23450.0.0,Docosahexaenoic Acid,DHA,fatty acid
23457,f.23457.0.0,Docosahexaenoic Acid to Total Fatty Acids percentage,DHA_pct,fatty acid
23461,f.23461.0.0,Glutamine,gln,amino acid
23470,f.23470.0.0,Glucose,glucose,glycolysis
23462,f.23462.0.0,Glycine,gly,amino acid
23480,f.23480.0.0,Glycoprotein Acetyls,glycA,inflammation
23406,f.23406.0.0,HDL Cholesterol,HDL,lipoprotein class
23418,f.23418.0.0,Cholesteryl Esters in HDL,HDL_CE,lipoprotein class
23430,f.23430.0.0,Concentration of HDL Particles,HDL_conc,lipoprotein class
23422,f.23422.0.0,Free Cholesterol in HDL,HDL_FC,lipoprotein class
23426,f.23426.0.0,Total Lipids in HDL,HDL_L,lipoprotein class
23414,f.23414.0.0,Phospholipids in HDL,HDL_PL,lipoprotein class
23433,f.23433.0.0,Average Diameter for HDL Particles,HDL_size,lipoprotein class
23410,f.23410.0.0,Triglycerides in HDL,HDL_TG,lipoprotein class
23463,f.23463.0.0,Histidine,his,amino acid
23526,f.23526.0.0,Cholesterol in IDL,IDL_C,lipoprotein subclass
23610,f.23610.0.0,Cholesterol to Total Lipids in IDL percentage,IDL_C_pct,lipoprotein subclass
23527,f.23527.0.0,Cholesteryl Esters in IDL,IDL_CE,lipoprotein class
23611,f.23611.0.0,Cholesteryl Esters to Total Lipids in IDL percentage,IDL_CE_pct,lipoprotein subclass
23523,f.23523.0.0,Concentration of IDL Particles,IDL_conc,lipoprotein subclass
23528,f.23528.0.0,Free Cholesterol in IDL,IDL_FC,lipoprotein class
23612,f.23612.0.0,Free Cholesterol to Total Lipids in IDL percentage,IDL_FC_pct,lipoprotein subclass
23524,f.23524.0.0,Total Lipids in IDL,IDL_L,lipoprotein subclass
23525,f.23525.0.0,Phospholipids in IDL,IDL_PL,lipoprotein subclass
23609,f.23609.0.0,Phospholipids to Total Lipids in IDL percentage,IDL_PL_pct,lipoprotein subclass
23529,f.23529.0.0,Triglycerides in IDL,IDL_TG,lipoprotein subclass
23613,f.23613.0.0,Triglycerides to Total Lipids in IDL percentage,IDL_TG_pct,lipoprotein subclass
23465,f.23465.0.0,Isoleucine,ile,amino acid
23561,f.23561.0.0,Cholesterol in Large HDL,L_HDL_C,lipoprotein subclass
23635,f.23635.0.0,Cholesterol to Total Lipids in Large HDL percentage,L_HDL_C_pct,lipoprotein subclass
23562,f.23562.0.0,Cholesteryl Esters in Large HDL,L_HDL_CE,lipoprotein subclass
23636,f.23636.0.0,Cholesteryl Esters to Total Lipids in Large HDL percentage,L_HDL_CE_pct,lipoprotein subclass
23558,f.23558.0.0,Concentration of Large HDL Particles,L_HDL_conc,lipoprotein subclass
23563,f.23563.0.0,Free Cholesterol in Large HDL,L_HDL_FC,lipoprotein subclass
23637,f.23637.0.0,Free Cholesterol to Total Lipids in Large HDL percentage,L_HDL_FC_pct,lipoprotein subclass
23559,f.23559.0.0,Total Lipids in Large HDL,L_HDL_L,lipoprotein subclass
23560,f.23560.0.0,Phospholipids in Large HDL,L_HDL_PL,lipoprotein subclass
