qc_id,qc_desc,met_id,met_desc,desc_same,id_same
23774,3-Hydroxybutyrate,23474,3-Hydroxybutyrate,TRUE,300
23775,Acetate,23475,Acetate,TRUE,300
23776,Acetoacetate,23476,Acetoacetate,TRUE,300
23777,Acetone,23477,Acetone,TRUE,300
23760,Alanine,23460,Alanine,TRUE,300
23779,Albumin,23479,Albumin,TRUE,300
23740,Apolipoprotein A1,23440,Apolipoprotein A1,TRUE,300
23739,Apolipoprotein B,23439,Apolipoprotein B,TRUE,300
23741,Apolipoprotein B to Apolipoprotein A1 ratio,23441,Apolipoprotein B to Apolipoprotein A1 ratio,TRUE,300
23733,Average Diameter for HDL Particles,23433,Average Diameter for HDL Particles,TRUE,300
23732,Average Diameter for LDL Particles,23432,Average Diameter for LDL Particles,TRUE,300
23731,Average Diameter for VLDL Particles,23431,Average Diameter for VLDL Particles,TRUE,300
23784,Cholesterol in Chylomicrons and Extremely Large VLDL,23484,Cholesterol in Chylomicrons and Extremely Large VLDL,TRUE,300
23826,Cholesterol in IDL,23526,Cholesterol in IDL,TRUE,300
23861,Cholesterol in Large HDL,23561,Cholesterol in Large HDL,TRUE,300
23833,Cholesterol in Large LDL,23533,Cholesterol in Large LDL,TRUE,300
23798,Cholesterol in Large VLDL,23498,Cholesterol in Large VLDL,TRUE,300
23868,Cholesterol in Medium HDL,23568,Cholesterol in Medium HDL,TRUE,300
23840,Cholesterol in Medium LDL,23540,Cholesterol in Medium LDL,TRUE,300
23805,Cholesterol in Medium VLDL,23505,Cholesterol in Medium VLDL,TRUE,300
23875,Cholesterol in Small HDL,23575,Cholesterol in Small HDL,TRUE,300
23847,Cholesterol in Small LDL,23547,Cholesterol in Small LDL,TRUE,300
23812,Cholesterol in Small VLDL,23512,Cholesterol in Small VLDL,TRUE,300
23854,Cholesterol in Very Large HDL,23554,Cholesterol in Very Large HDL,TRUE,300
23791,Cholesterol in Very Large VLDL,23491,Cholesterol in Very Large VLDL,TRUE,300
23819,Cholesterol in Very Small VLDL,23519,Cholesterol in Very Small VLDL,TRUE,300
23880,Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,23580,Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,TRUE,300
23910,Cholesterol to Total Lipids in IDL percentage,23610,Cholesterol to Total Lipids in IDL percentage,TRUE,300
23935,Cholesterol to Total Lipids in Large HDL percentage,23635,Cholesterol to Total Lipids in Large HDL percentage,TRUE,300
23915,Cholesterol to Total Lipids in Large LDL percentage,23615,Cholesterol to Total Lipids in Large LDL percentage,TRUE,300
23890,Cholesterol to Total Lipids in Large VLDL percentage,23590,Cholesterol to Total Lipids in Large VLDL percentage,TRUE,300
23940,Cholesterol to Total Lipids in Medium HDL percentage,23640,Cholesterol to Total Lipids in Medium HDL percentage,TRUE,300
23920,Cholesterol to Total Lipids in Medium LDL percentage,23620,Cholesterol to Total Lipids in Medium LDL percentage,TRUE,300
23895,Cholesterol to Total Lipids in Medium VLDL percentage,23595,Cholesterol to Total Lipids in Medium VLDL percentage,TRUE,300
23945,Cholesterol to Total Lipids in Small HDL percentage,23645,Cholesterol to Total Lipids in Small HDL percentage,TRUE,300
23925,Cholesterol to Total Lipids in Small LDL percentage,23625,Cholesterol to Total Lipids in Small LDL percentage,TRUE,300
23900,Cholesterol to Total Lipids in Small VLDL percentage,23600,Cholesterol to Total Lipids in Small VLDL percentage,TRUE,300
23930,Cholesterol to Total Lipids in Very Large HDL percentage,23630,Cholesterol to Total Lipids in Very Large HDL percentage,TRUE,300
23885,Cholesterol to Total Lipids in Very Large VLDL percentage,23585,Cholesterol to Total Lipids in Very Large VLDL percentage,TRUE,300
23905,Cholesterol to Total Lipids in Very Small VLDL percentage,23605,Cholesterol to Total Lipids in Very Small VLDL percentage,TRUE,300
23785,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,23485,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,TRUE,300
23718,Cholesteryl Esters in HDL,23418,Cholesteryl Esters in HDL,TRUE,300
23827,Cholesteryl Esters in IDL,23527,Cholesteryl Esters in IDL,TRUE,300
23862,Cholesteryl Esters in Large HDL,23562,Cholesteryl Esters in Large HDL,TRUE,300
23834,Cholesteryl Esters in Large LDL,23534,Cholesteryl Esters in Large LDL,TRUE,300
23799,Cholesteryl Esters in Large VLDL,23499,Cholesteryl Esters in Large VLDL,TRUE,300
23717,Cholesteryl Esters in LDL,23417,Cholesteryl Esters in LDL,TRUE,300
23869,Cholesteryl Esters in Medium HDL,23569,Cholesteryl Esters in Medium HDL,TRUE,300
23841,Cholesteryl Esters in Medium LDL,23541,Cholesteryl Esters in Medium LDL,TRUE,300
23806,Cholesteryl Esters in Medium VLDL,23506,Cholesteryl Esters in Medium VLDL,TRUE,300
23876,Cholesteryl Esters in Small HDL,23576,Cholesteryl Esters in Small HDL,TRUE,300
23848,Cholesteryl Esters in Small LDL,23548,Cholesteryl Esters in Small LDL,TRUE,300
23813,Cholesteryl Esters in Small VLDL,23513,Cholesteryl Esters in Small VLDL,TRUE,300
23855,Cholesteryl Esters in Very Large HDL,23555,Cholesteryl Esters in Very Large HDL,TRUE,300
23792,Cholesteryl Esters in Very Large VLDL,23492,Cholesteryl Esters in Very Large VLDL,TRUE,300
23820,Cholesteryl Esters in Very Small VLDL,23520,Cholesteryl Esters in Very Small VLDL,TRUE,300
23716,Cholesteryl Esters in VLDL,23416,Cholesteryl Esters in VLDL,TRUE,300
