qc_id,met_id,met_desc,abbreviation,category
f.23774.0.0,f.23474.0.0,3-Hydroxybutyrate,bOHbutyrate,ketone body
f.23775.0.0,f.23475.0.0,Acetate,acetate,ketone body
f.23776.0.0,f.23476.0.0,Acetoacetate,acetoacetate,ketone body
f.23777.0.0,f.23477.0.0,Acetone,acetone,ketone body
f.23760.0.0,f.23460.0.0,Alanine,ala,amino acid
f.23779.0.0,f.23479.0.0,Albumin,albumin,fluid balance
f.23740.0.0,f.23440.0.0,Apolipoprotein A1,apoA1,apolipoprotein
f.23739.0.0,f.23439.0.0,Apolipoprotein B,apoB,apolipoprotein
f.23741.0.0,f.23441.0.0,Apolipoprotein B to Apolipoprotein A1 ratio,apoB_by_apoA1,apolipoprotein
f.23733.0.0,f.23433.0.0,Average Diameter for HDL Particles,HDL_size,lipoprotein class
f.23732.0.0,f.23432.0.0,Average Diameter for LDL Particles,LDL_size,lipoprotein class
f.23731.0.0,f.23431.0.0,Average Diameter for VLDL Particles,VLDL_size,lipoprotein class
f.23784.0.0,f.23484.0.0,Cholesterol in Chylomicrons and Extremely Large VLDL,XXL_VLDL_C,lipoprotein subclass
f.23826.0.0,f.23526.0.0,Cholesterol in IDL,IDL_C,lipoprotein subclass
f.23861.0.0,f.23561.0.0,Cholesterol in Large HDL,L_HDL_C,lipoprotein subclass
f.23833.0.0,f.23533.0.0,Cholesterol in Large LDL,L_LDL_C,lipoprotein subclass
f.23798.0.0,f.23498.0.0,Cholesterol in Large VLDL,L_VLDL_C,lipoprotein subclass
f.23868.0.0,f.23568.0.0,Cholesterol in Medium HDL,M_HDL_C,lipoprotein subclass
f.23840.0.0,f.23540.0.0,Cholesterol in Medium LDL,M_LDL_C,lipoprotein subclass
f.23805.0.0,f.23505.0.0,Cholesterol in Medium VLDL,M_VLDL_C,lipoprotein subclass
f.23875.0.0,f.23575.0.0,Cholesterol in Small HDL,S_HDL_C,lipoprotein subclass
f.23847.0.0,f.23547.0.0,Cholesterol in Small LDL,S_LDL_C,lipoprotein subclass
f.23812.0.0,f.23512.0.0,Cholesterol in Small VLDL,S_VLDL_C,lipoprotein subclass
f.23854.0.0,f.23554.0.0,Cholesterol in Very Large HDL,XL_HDL_C,lipoprotein subclass
f.23791.0.0,f.23491.0.0,Cholesterol in Very Large VLDL,XL_VLDL_C,lipoprotein subclass
f.23819.0.0,f.23519.0.0,Cholesterol in Very Small VLDL,XS_VLDL_C,lipoprotein subclass
f.23880.0.0,f.23580.0.0,Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,XXL_VLDL_C_pct,lipoprotein subclass
f.23910.0.0,f.23610.0.0,Cholesterol to Total Lipids in IDL percentage,IDL_C_pct,lipoprotein subclass
f.23935.0.0,f.23635.0.0,Cholesterol to Total Lipids in Large HDL percentage,L_HDL_C_pct,lipoprotein subclass
f.23915.0.0,f.23615.0.0,Cholesterol to Total Lipids in Large LDL percentage,L_LDL_C_pct,lipoprotein subclass
f.23890.0.0,f.23590.0.0,Cholesterol to Total Lipids in Large VLDL percentage,L_VLDL_C_pct,lipoprotein subclass
f.23940.0.0,f.23640.0.0,Cholesterol to Total Lipids in Medium HDL percentage,M_HDL_C_pct,lipoprotein subclass
f.23920.0.0,f.23620.0.0,Cholesterol to Total Lipids in Medium LDL percentage,M_LDL_C_pct,lipoprotein subclass
f.23895.0.0,f.23595.0.0,Cholesterol to Total Lipids in Medium VLDL percentage,M_VLDL_C_pct,lipoprotein subclass
f.23945.0.0,f.23645.0.0,Cholesterol to Total Lipids in Small HDL percentage,S_HDL_C_pct,lipoprotein subclass
f.23925.0.0,f.23625.0.0,Cholesterol to Total Lipids in Small LDL percentage,S_LDL_C_pct,lipoprotein subclass
f.23900.0.0,f.23600.0.0,Cholesterol to Total Lipids in Small VLDL percentage,S_VLDL_C_pct,lipoprotein subclass
f.23930.0.0,f.23630.0.0,Cholesterol to Total Lipids in Very Large HDL percentage,XL_HDL_C_pct,lipoprotein subclass
f.23885.0.0,f.23585.0.0,Cholesterol to Total Lipids in Very Large VLDL percentage,XL_VLDL_C_pct,lipoprotein subclass
f.23905.0.0,f.23605.0.0,Cholesterol to Total Lipids in Very Small VLDL percentage,XS_VLDL_C_pct,lipoprotein subclass
f.23785.0.0,f.23485.0.0,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,XXL_VLDL_CE,lipoprotein subclass
